------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
5.0922 7.2256 6.8701 5.4282 6.1540 3.2381
5.1125 7.1920 6.7904 5.3967 6.1229 3.2481
5.1402 7.1574 6.6966 5.3597 6.0885 3.2581
5.1756 7.1219 6.6649 5.3187 6.0703 3.2682
5.2187 7.0855 6.7267 5.3336 6.0911 3.2782
5.2696 7.0484 6.7810 5.3522 6.1128 3.2882
5.3282 7.0109 6.8274 5.3687 6.1338 3.2982
5.3945 6.9735 6.8654 5.3865 6.1550 3.3083
5.4686 6.9362 6.8945 5.4092 6.1771 3.3183
5.5505 6.8984 6.9144 5.4414 6.2012 3.3283
5.6400 6.8601 6.9247 5.4875 6.2281 3.3383
5.7375 6.8212 6.9254 5.5513 6.2589 3.3484
5.8427 6.7816 6.9162 5.6365 6.2943 3.3584
5.9556 6.7485 6.8971 5.7456 6.3367 3.3684
6.0763 6.7161 6.8682 5.8800 6.3851 3.3784
6.2043 6.6831 6.8297 6.0401 6.4393 3.3885
6.3393 6.6492 6.7827 6.2251 6.4991 3.3985
6.4807 6.6163 6.7444 6.4333 6.5687 3.4085
6.6278 6.5970 6.7015 6.6624 6.6472 3.4185
6.7799 6.5763 6.6504 6.9103 6.7292 3.4286
6.9358 6.5544 6.5902 7.1771 6.8144 3.4386
7.0942 6.5313 6.5208 7.4582 6.9011 3.4486
7.2543 6.5069 6.4420 7.7468 6.9875 3.4586
7.4144 6.4814 6.3537 8.0366 7.0715 3.4687
7.5736 6.4546 6.2562 8.3214 7.1515 3.4787
7.7308 6.4269 6.1498 8.5965 7.2260 3.4887
7.8840 6.3999 6.0348 8.8580 7.2942 3.4987
8.0312 6.4437 5.9117 9.1014 7.3720 3.5088
8.1708 6.4818 5.8382 9.3246 7.4539 3.5188
8.3029 6.5212 5.8217 9.5316 7.5444 3.5288
8.4343 6.5767 5.8055 9.7220 7.6346 3.5388
8.5775 6.6538 5.7886 9.8845 7.7261 3.5489
8.7176 6.7239 5.7747 10.0104 7.8067 3.5589
8.8707 6.7862 5.7593 10.1031 7.8798 3.5689
9.0669 6.8405 5.7390 10.1744 7.9552 3.5789
9.2545 6.8869 5.7136 10.2145 8.0174 3.5890
9.4314 6.9861 5.6882 10.2150 8.0802 3.5990
9.5977 7.0796 5.6869 10.1804 8.1362 3.6090
9.7544 7.1679 5.6801 10.1174 8.1799 3.6190
